,Aktuelle BFS Gemeinde-Nr,Bahnübergang UAP,Bahnübergang Zusatz UAP,Datum,Getötete,Hauptursache UAP,Höchstgeschwindigkeit,Höchstgeschwindigkeit Zusatz UAP,Innerorts / Ausserorts UAP,Jahr,Kanton Kürzel,Leichtverletzte,Lichtverhältnis UAP,Schwerverletzte,Sicht UAP,Strassenanlage UAP,Strassenanlage Zusatz UAP,Strassenart UAP,Strassenart Zusatz UAP,Strassenbeleuchtung UAP,Strassenkategorie,Strassenzustand UAP,Strassenzustand Zusatz UAP,Total Objekte,Total Personen,Total geschätzter Sachschaden (in 1000 CHF),Unfall-UID,Unfallstelle UAP,Unfallstelle Zusatz UAP,Unfalltyp UAP,Unfallzeit,Verkehrsbedingungen UAP,Verkehrsregelung UAP,Verkehrsregelung Zusatz UAP,Vortrittsregelung UAP,Witterung UAP,Witterung Zusatz UAP,Wochentag-Nr,Zonensignalisation UAP,erheblich Verletzte,lebensbedrohlich Verletzte,unverletzte Personen,x-Koordinate,y-Koordinate
70,3007.0,570,,2011-01-01 00:00:00,0,9199,50,,410,2011,AR,0,622,0,630,550,,432,,643,Kantonsstrasse,521,,2,2,1.0,9FAD2F2169C38056E0430A865E338056,486,,41,1900-01-01 17:45:00,450,600,,492,581,,6,460,,,2,739600,246926
88,138.0,570,,2011-01-01 00:00:00,0,9199,50,,410,2011,ZH,0,623,0,630,559,,433,,649,Gemeindestrasse,529,,1,1,0.5,A6EBA13DB9800096E0430A8394270096,486,|511|,2,1900-01-01 12:00:00,459,600,,490,589,,6,460,,,1,695429,229106
131,939.0,570,,2011-01-02 00:00:00,0,4503,50,,410,2011,BE,0,622,0,630,550,,432,,643,Gemeindestrasse,520,,2,4,4.5,9A2DED1208F98090E0430A865E338090,486,,41,1900-01-01 20:20:00,450,600,,492,581,,7,460,,,4,614696,180070
136,2572.0,570,,2011-01-02 00:00:00,0,1101,50,,410,2011,SO,1,620,0,630,550,,432,,641,Kantonsstrasse,520,,1,1,10.0,9B5D95E4617820CCE0430A865E3320CC,486,,3,1900-01-01 15:50:00,450,600,,490,580,|591|,7,460,,,0,640967,245128
160,223.0,570,,2011-01-02 00:00:00,0,4503,60,,410,2011,ZH,0,620,0,630,550,,432,,641,Kantonsstrasse,521,,2,4,8.0,A6FE58C5FE9800E0E0430A83942700E0,486,,41,1900-01-01 16:20:00,451,600,,492,581,,7,460,,,4,691798,263931
169,191.0,570,,2011-01-02 00:00:00,1,9199,80,,411,2011,ZH,0,622,0,630,550,,432,,643,Kantonsstrasse,521,,1,1,20.0,A7017A5EAF2C000AE0430A839427000A,486,|511|,2,1900-01-01 04:45:00,450,600,,490,581,,7,460,,,0,690713,250096
193,4786.0,570,,2011-01-03 00:00:00,0,4503,50,,410,2011,TG,1,620,0,630,550,,433,,641,Kantonsstrasse,521,,2,3,11.0,998568D4ADA28028E0430A865E338028,486,,41,1900-01-01 10:30:00,450,600,,492,581,,1,460,,,2,720619,257105
212,329.0,570,,2011-01-03 00:00:00,0,4503,60,,410,2011,BE,0,621,0,630,550,,432,,643,Kantonsstrasse,522,,2,2,8.0,9A096471B2A09094E0430A865E339094,486,,41,1900-01-01 05:40:00,451,600,,492,581,,1,460,,,2,625760,230430
217,5922.0,570,,2011-01-03 00:00:00,0,1701,50,,410,2011,VD,0,620,1,630,550,,432,,641,Kantonsstrasse,520,,3,3,6.0,9AC5616F1ADC1024E0430A865E331024,486,|512|,21,1900-01-01 16:20:00,454,600,,490,581,,1,460,,,2,537695,182298
218,4082.0,570,,2011-01-03 00:00:00,0,4503,50,,410,2011,AG,1,620,0,630,550,,432,,641,Kantonsstrasse,520,,2,3,1.5,9AC5616F23741024E0430A865E331024,486,,41,1900-01-01 13:40:00,451,600,,492,581,,1,460,,,2,663033,244730
262,2125.0,570,,2011-01-03 00:00:00,0,4204,50,,410,2011,FR,0,621,0,630,552,,432,,643,Gemeindestrasse,520,,2,2,3.0,9FD5D3AE466860B2E0430A865E3360B2,486,,18,1900-01-01 17:00:00,451,600,,490,580,,1,460,,,2,570909,162681
311,4946.0,570,,2011-01-04 00:00:00,0,4503,50,,410,2011,TG,1,620,0,630,550,,432,,641,Kantonsstrasse,520,,2,2,2.0,9A05F70101F7F08CE0430A865E33F08C,486,,41,1900-01-01 11:50:00,452,600,,492,581,,2,460,,,1,726539,269304
414,363.0,570,,2011-01-05 00:00:00,0,4503,60,,411,2011,BE,0,622,1,630,550,,432,,642,Kantonsstrasse,520,,2,2,1.6,9A2DED120D9E8090E0430A865E338090,486,,41,1900-01-01 17:55:00,453,600,,492,580,,3,460,,,1,603721,201584
417,361.0,570,,2011-01-05 00:00:00,0,4606,50,,410,2011,BE,0,621,0,630,550,,432,,642,Kantonsstrasse,520,,2,2,4.0,9A659A2208CA7062E0430A865E337062,486,|512|,21,1900-01-01 17:08:00,451,600,,490,580,,3,460,,,2,601726,205433
452,2250.0,570,,2011-01-05 00:00:00,0,4503,50,,410,2011,FR,1,622,0,630,550,,432,,643,Kantonsstrasse,520,,2,2,0.7,9FC30946FFABD0B4E0430A865E33D0B4,486,,50,1900-01-01 18:15:00,450,600,,492,581,,3,460,,,1,575070,195260
487,227.0,570,,2011-01-05 00:00:00,0,4601,50,,410,2011,ZH,0,622,0,630,550,,433,,643,Kantonsstrasse,520,,1,1,1.0,A7017A5EB390000AE0430A839427000A,486,|500|511|,2,1900-01-01 21:40:00,450,600,,490,580,,3,460,,,1,697199,265842
491,6607.0,570,,2011-01-06 00:00:00,0,1701,60,,411,2011,GE,1,620,0,630,550,,432,,640,Kantonsstrasse,521,,2,2,10.0,9921B4E1D6C6D00EE0430A865E33D00E,486,,21,1900-01-01 10:04:00,450,600,,490,581,,4,460,,,1,495452,115061
