"Canton";"2017"
"Zürich";737247
"Bern / Berne";531863
"Luzern";216708
"Uri";19819
"Schwyz";100054
"Obwalden";22288
"Nidwalden";26656
"Glarus";23505
"Zug";80904
"Fribourg / Freiburg";183742
"Solothurn";156191
"Basel-Stadt";66143
"Basel-Landschaft";147610
"Schaffhausen";45380
"Appenzell Ausserrhoden";31812
"Appenzell Innerrhoden";9602
"St. Gallen";278804
"Graubünden / Grigioni / Grischun";112223
"Aargau";390489
"Thurgau";170529
"Ticino";225337
"Vaud";414628
"Valais / Wallis";217251
"Neuchâtel";97241
"Genève";221714
"Jura";43083
"Confédération";0
