Id,Total,Routes nationales,Routes cantonales,Routes communales
22,7711,205,2131,5375
23,4205,111,1860,2234
25,1357,27,266,1064
2,11915,209,2086,9620
10,3444,84,636,2724
11,2503,44,612,1847
24,1884,40,449,1395
26,1681,47,449,1185
12,376,10,305,61
13,2064,30,476,1558
19,5596,99,1173,4324
1,7364,151,1620,5593
8,412,17,129,266
14,1615,17,224,1374
15,431,0,227,204
16,141,0,62,79
17,2969,140,678,2151
18,3688,169,1423,2096
20,3186,43,802,2341
3,3240,59,522,2659
4,371,70,152,149
5,898,50,218,630
6,540,37,83,420
7,240,26,74,140
9,556,18,138,400
21,3155,139,1059,1957
